i,x,y,Ox,Oy,R0,minR,maxR
0,381.7491421,37.86314993,0.08771987595,-8.771695193,438.614,384.5,488.423
0,383.4725949,-38.03408771,0.08771987595,-8.771695193,438.614,384.5,488.423
0,486.9091167,-48.29326606,0.08771987595,-8.771695193,438.614,384.5,488.423
0,485.1857472,48.12233654,0.08771987595,-8.771695193,438.614,384.5,488.423
1,381.7491421,37.86314993,0.08771987595,-8.771695193,393.99,384.5,403.481
1,383.4725949,-38.03408771,0.08771987595,-8.771695193,393.99,384.5,403.481
1,402.3655477,-39.90795363,0.08771987595,-8.771695193,393.99,384.5,403.481
1,400.6421134,39.73701768,0.08771987595,-8.771695193,393.99,384.5,403.481
2,400.6421134,39.73701768,0.08771987595,-8.771695193,415.471,403.481,427.462
2,402.3655477,-39.90795363,0.08771987595,-8.771695193,415.471,403.481,427.462
2,426.2347188,-42.27537743,0.08771987595,-8.771695193,415.471,403.481,427.462
2,424.5113054,42.10444355,0.08771987595,-8.771695193,415.471,403.481,427.462
3,424.5096547,42.11821216,0.08771987595,-8.771695193,441.952,427.462,456.442
3,426.2336273,-42.28925808,0.08771987595,-8.771695193,441.952,427.462,456.442
3,455.0776558,-45.15105144,0.08771987595,-8.771695193,441.952,427.462,456.442
3,453.3537056,44.98000774,0.08771987595,-8.771695193,441.952,427.462,456.442
4,453.3537056,44.98000774,0.08771987595,-8.771695193,472.433,456.442,488.423
4,455.0776558,-45.15105144,0.08771987595,-8.771695193,472.433,456.442,488.423
4,486.9078294,-48.30911862,0.08771987595,-8.771695193,472.433,456.442,488.423
4,485.1839008,48.13807706,0.08771987595,-8.771695193,472.433,456.442,488.423
